Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
44:30.0,76.767,37.139
44:31.0,80.442,37.23
44:32.0,77.452,37.311
44:33.0,90.344,37.605
44:34.0,87.457,37.801
44:35.0,86.324,37.852
44:36.0,76.764,37.908
44:37.0,78.644,37.98
44:38.0,93.109,38.057
44:39.0,88.907,38.135
44:40.0,76.752,38.141
44:41.0,80.17,38.479
44:42.0,83.811,38.738
44:43.0,72.681,38.799
44:44.0,89.059,39.431
44:45.0,90.136,39.81
44:46.0,78.027,40.955
44:47.0,60,37.56
44:48.0,59.145,36.761
44:49.0,74.872,36.356
44:50.0,86.926,36.549
44:51.0,80.541,36.851
44:52.0,70.637,37.08
44:53.0,64.983,37.336
44:54.0,80.338,37.734
44:55.0,90.954,37.926
44:56.0,82.993,38.037
44:57.0,76.271,38.251
44:58.0,79.461,38.614
44:59.0,78.885,38.571
45:00.0,87.478,38.935
45:01.0,91.355,39.294
45:02.0,82.312,39.184
45:03.0,73.657,39.226
45:04.0,75.731,39.408
45:05.0,80.952,39.663
45:06.0,91.304,39.832
45:07.0,94.006,39.914
45:08.0,75.844,40.214
45:09.0,80,40.384
45:10.0,84.801,40.548
45:11.0,69.846,40.68
45:12.0,81.462,40.732
45:13.0,79.557,40.768
45:14.0,96.095,39.404
45:15.0,99.152,40.207
45:16.0,97.766,40.707
45:17.0,93.162,41.318
45:18.0,98.348,41.541
45:19.0,99.662,42.072
45:20.0,98.656,42.203
45:21.0,98.839,42.279
45:22.0,94.127,41.878
45:23.0,96.817,42.46
45:24.0,98.831,38.262
45:25.0,95.317,37.786
45:26.0,95.979,38.392
45:27.0,98.494,38.333
45:28.0,91.708,37.07
45:29.0,91.385,37.095
45:30.0,76.74,37.012
45:31.0,94.285,37.608
45:32.0,84.523,37.45
45:33.0,86.386,37.687
45:34.0,75.589,37.722
45:35.0,84.406,37.863
45:36.0,88.127,38.046
45:37.0,80.034,38.098
45:38.0,80.944,38.299
45:39.0,79.159,38.349
45:40.0,67.563,38.411
45:41.0,82.967,38.417
45:42.0,81.956,38.9
45:43.0,83.898,39.036
45:44.0,66.159,36.699
45:45.0,74.702,36.745
45:46.0,80.338,37.043
45:47.0,85.059,37.21
45:48.0,83.648,37.604
45:49.0,75.726,37.782
45:50.0,76.068,37.893
45:51.0,80.944,38.042
45:52.0,81.646,38.121
45:53.0,82.931,38.299
45:54.0,84.013,38.481
45:55.0,80.617,38.543
45:56.0,82.935,38.631
45:57.0,85.813,38.811
45:59.0,78.983,38.895
46:00.0,81.239,38.875
46:01.0,81.443,38.871
46:02.0,77.226,39.07
46:03.0,79.796,39.1
46:04.0,81.569,39.129
46:05.0,81.587,39.219
46:06.0,78.401,39.589
46:07.0,78.595,39.823
46:08.0,77.571,39.843
46:09.0,82.252,40.321
46:10.0,81.649,40.396
46:11.0,74.573,40.879
46:12.0,75.171,41.456
46:13.0,70.811,41.617
46:14.0,54.561,36.879
46:15.0,52.533,37.329
46:16.0,56.738,37.679
46:17.0,55.241,37.68
46:18.0,52.516,37.679
46:19.0,59.121,37.682
46:20.0,54.684,36.666
46:21.0,66.78,36.934
46:22.0,68.75,37.129
46:23.0,67.288,37.165
46:24.0,63.939,37.557
46:25.0,65.771,37.632
46:26.0,66.218,37.722
46:27.0,80.135,38.097
46:28.0,89.632,38.856
