Elapsed time,192.168.5.50 CPU,192.168.5.50 Disks I/O,192.168.5.50 Memory,192.168.5.50 Network I/O
12:51:34.0,87.244,-0.968,83.266,2.5796214E7
12:51:35.0,83.208,-1.0,83.264,5732278.0
12:51:36.0,99.004,-1.0,83.267,129786.0
12:51:37.0,98.496,-1.0,83.265,172316.0
12:51:38.0,99.496,-1.0,83.262,152067.0
12:51:39.0,99.501,-1.0,83.261,154689.0
12:51:40.0,98.75,-1.0,83.26,182820.0
12:51:41.0,99.002,-1.0,83.259,161375.0
12:51:42.0,99.25,-1.0,83.259,172163.0
12:51:43.0,98.994,-1.0,83.258,173674.0
12:51:44.0,99.75,-1.0,83.257,173551.0
12:51:45.0,92.786,-1.0,83.43,5715635.0
12:51:46.0,87.055,-0.96,83.273,2.5228618E7
12:51:47.0,95.5,-1.0,83.275,593108.0
12:51:48.0,99.5,-1.0,83.273,162330.0
12:51:49.0,98.753,-1.0,83.268,152848.0
12:51:50.0,99.496,-1.0,83.267,187047.0
12:51:51.0,99.496,-1.0,83.269,179363.0
12:51:52.0,99.002,-1.0,83.27,171911.0
12:51:53.0,99.248,-1.0,83.269,174887.0
12:51:54.0,99.255,-1.0,83.269,172917.0
12:51:55.0,99.5,-1.0,83.267,173567.0
12:51:56.0,85.279,-1.0,83.271,1.0073566E7
12:51:57.0,81.912,-1.0,83.265,2.1066593E7
12:51:58.0,96.259,-1.0,83.271,383664.0
12:51:59.0,99.498,-1.0,83.271,144210.0
12:52:00.0,99.5,-1.0,83.269,170460.0
12:52:01.0,99.497,-1.0,83.269,165448.0
12:52:02.0,98.997,-1.0,83.267,160854.0
12:52:03.0,99.498,-1.0,83.265,172364.0
12:52:04.0,99.75,-1.0,83.264,161437.0
12:52:05.0,99.498,-1.0,83.263,174612.0
12:52:06.0,99.498,-1.0,83.265,182411.0
12:52:07.0,97.755,-0.976,83.279,168246.0
12:52:08.0,75.25,-1.0,83.282,3.0412353E7
12:52:09.0,90.452,-1.0,83.277,940573.0
12:52:10.0,100.0,-1.0,83.279,149950.0
12:52:11.0,99.002,-1.0,83.279,166311.0
12:52:12.0,99.25,-1.0,83.277,147545.0
12:52:13.0,99.25,-1.0,83.275,166850.0
12:52:14.0,99.498,-1.0,83.274,167479.0
12:52:15.0,99.009,-1.0,83.273,173623.0
12:52:16.0,99.246,-1.0,83.273,172679.0
12:52:17.0,99.25,-1.0,83.273,162114.0
12:52:18.0,99.5,-1.0,83.273,162679.0
12:52:19.0,80.1,-1.0,83.274,1.2807999E7
12:52:20.0,83.846,-1.0,83.269,1.8283347E7
12:52:21.0,96.758,-1.0,83.271,414584.0
12:52:22.0,99.251,-1.0,83.271,172034.0
12:52:23.0,99.748,-1.0,83.243,174488.0
12:52:24.0,99.5,-1.0,83.246,162458.0
12:52:25.0,99.75,-1.0,83.243,172388.0
12:52:26.0,99.75,-1.0,83.243,180777.0
12:52:27.0,99.248,-1.0,83.241,166943.0
12:52:28.0,99.002,-1.0,83.24,157664.0
12:52:29.0,98.994,-1.0,83.239,166450.0
12:52:30.0,89.526,-1.0,83.239,233385.0
12:52:31.0,81.377,-1.0,83.241,3.0337196E7
12:52:32.0,90.537,-1.0,83.239,954845.0
12:52:33.0,99.251,-0.872,83.243,108290.0
12:52:34.0,99.248,-1.0,83.245,129884.0
12:52:35.0,98.997,-1.0,83.242,152691.0
12:52:36.0,99.002,-1.0,83.242,190675.0
12:52:37.0,99.0,-0.896,83.248,166977.0
12:52:38.0,99.248,-1.0,83.25,165672.0
12:52:39.0,99.498,-1.0,83.25,173265.0
12:52:40.0,98.756,-1.0,83.251,166009.0
12:52:41.0,99.246,-1.0,83.251,185409.0
12:52:42.0,99.253,-1.0,83.249,173395.0
12:52:43.0,79.441,-1.0,83.256,3.0036213E7
12:52:44.0,89.393,-0.992,83.255,1334589.0
12:52:45.0,99.244,-1.0,83.262,162622.0
